title,battery_format,cathode,anode,electrolyte,additives,DOI
Tri-functionalized Li2B4O7 coated LiNi0.5Co0.2Mn0.3O2 for boosted performance lithium-ion batteries,[],[LiNi0.5Co0.2Mn0.3O2, [], [], []],10.1016/j.jallcom.2023.168767
Mn2+doped BaSnF4-based solid state electrolyte for room-temperature fluoride ion batteries,[],[BiF3, Sn, Ba0.96Mn0.04SnF4, []],10.1016/j.jelechem.2023.117145
Self-Healing and Recyclable Polymer Electrolyte Enabled with Boronic Ester Transesterification for Stabilizing Ion Deposition,[],[LiFePO4, Li metal, solid polymer electrolyte, boronic ester bonds],10.1002/adfm.202212005
Mechanochemical reactions between polyanionic borate and residue Li2CO3 on LiCoO2 to stabilize cathode/electrolyte interface in sulfide-based all-solid-state batteries,[],[LiCoO2, Li-In, Li10GeP2S12, LiBa(B3O5)3/Li3BO3/lithium boron oxide],10.1016/j.nanoen.2023.108192
Constructing Carbon Nanobubbles with Boron Doping as Advanced Anode for Realizing Unprecedently Ultrafast Potassium Ion Storage,[],[carbonaceous material (BCNBs anode), dual-carbon potassium-ion capacitor (cathode not specified), potassium-ion system (electrolyte not specified), pre-formed artificial inorganic solid electrolyte interface (additive)],10.1002/eem2.12559
Extreme Fast Charging Capability in Graphite Anode via a Lithium Borate Type Biobased Polymer as Aqueous Polyelectrolyte Binder,[],[graphite anode, , , borate type bio-based polymer binder],10.1021/acsmaterialslett.2c00999
Highly electrochemically stable Li2B12H12-Al2O3 nanocomposite electrolyte enabling A 3.8 V room-temperature all-solid-state Li-ion battery,[],[LiNi0.8Co0.1Mn0.1O2 (NCM811), lithium metal, Li2B12H12-Al2O3 nanocomposite, []],10.1016/j.jallcom.2022.168689
Enhanced ionic conductivity and mechanical strength in nanocomposite electrolytes with nonlinear polymer architectures,[],[ [], [], poly(ethylene oxide)-based solvent-free polymer electrolyte with LiTFSI salt, SiO2 nanoparticles ],10.55730/1300-0527.3533
Rational Design of Diamond Electrodes,[],[diamond electrodes, redox electrolytes, [], []],10.1021/acs.accounts.2c00644
Low resistance separator with hexagonal boron nitride (h-BN) binder for high power thermal battery,[],[positive electrode material: [], negative electrode material: [], electrolyte system: LiF-LiCl-LiBr, additives: h-BN],10.1016/j.matchemphys.2022.127221
"Lewis basicity of alkyl carbonates and other esters. The Gutmann Donor Number (DN), a flawed indicator? Boron trifluoride adduct-formation enthalpy, experimentally or computationally determined, as a reliable alternative",[],[lithium-ion battery, , alkyl carbonates as electrolytes or additives, ],10.1016/j.molliq.2022.120997
Insights into Electrolytic Pre-Lithiation: A Thorough Analysis Using Silicon Thin Film Anodes,[],[NCM111, silicon, gamma-butyrolactone/LiCl, lithium bis(oxalato)borate/lithium difluoro(oxalate)borate/CO2],10.1002/smll.202206092
"Micron SiOx encapsulated into amorphous B, N Co-doped carbon nanotube network for high-capacity and long-durable Li-ion half/full batteries",[coin battery],[LiFePO4, m-SiOx encapsulated in B,N co-doped carbon nanotube network, electrolyte system not specified,10.1016/j.cej.2022.140820
Rational design of boron-nitrogen coordinated active sites towards oxygen reduction reaction in aluminum-air batteries with robust integrated air cathode,[],[oxygen (air), aluminum, NaOH/NaCl, []],10.1016/j.jpowsour.2022.232476
Boron Nitride-Doped Polyphenylenic Organogels,[],[lithium-ion battery, , solid-state electrolytes, ],10.1021/acs.chemmater.2c01766
Hybrid Artificial Solid Electrolyte Interphase with Dendrite-Free Lithium Deposition and High Ion Transport Kinetics,[],[lithium metal, not specified, liquid or solid-state, hydroxyl-functionalized boron nitride nanosheets and poly(vinyl alcohol)],10.1021/acsami.2c16604
Enhancing the electrochemical performance of Co-less Ni-rich LiNi0.925Co0.03Mn0.045O2 cathode material via Co-modification with Li2B4O7 coating and B3+ doping br,[],[LiNi0.925Co0.03Mn0.045O2, , , ],10.1016/j.jpowsour.2022.232092
Electrochemical behaviors of Li-B alloys in a LiCl-LiBr-KBr molten salt system,[],[, Li-B alloy, LiCl-LiBr-KBr, ],10.1039/d2cp04125a
Boron-Based Functional Additives Enable Solid Electrolyte Interphase Engineering in Calcium Metal Battery,[],[calcium metal, not specified, organic electrolytes, boron-based additives],10.1002/batt.202200433
High Lithium Salt Content PVDF-Based Solid-State Composite Polymer Electrolyte Enhanced by h-BN Nanosheets,[],[LiFePO4, lithium metal, PVDF-based solid composite polymer electrolyte, h-BN nanosheets],10.1002/cssc.202201554
Lithium Borate Ionic Liquids as Single-Component Electrolytes for Batteries,[],[lithium-iron phosphate or lithium titanate, lithium-metal, lithium borate ionic liquids, []],10.1002/aenm.202202974
Structure dependence of fracture toughness and ionic conductivity in lithium borophosphate glassy electrolytes for all-solid-state batteries,[],[ [], [], lithium borophosphate glass electrolytes, [] ],10.1016/j.jpowsour.2022.232302
Application for the porous structure of cellulose separators: Ionic conduction path in lithium-ion battery,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [], additives: []],10.1016/j.jelechem.2022.116937
Nanocomposite polymer electrolytes for solid-state lithium-ion batteries with enhanced electrochemical properties,[],[],[],PEO/BNs NPEs,boron-containing nanoparticles,10.1002/app.53337
Synergy of in-situ heterogeneous interphases tailored lithium deposition,[coin battery],[, lithium metal, , fluorinated boron nitride],10.1007/s12274-022-5004-0
Performance Improvement of Lithium Metal Batteries Enabled By LiBF3CN as a New Electrolyte Additive,[coin battery],[NCM523, lithium metal, carbonate-based electrolyte, LiBF3CN],10.1149/1945-7111/ac9d67
Efficient polyselenides anchoring and conversion by functionalized Mo2B2 MBene for advanced Li-Se battery,[],[selenium, lithium, [], []],10.1016/j.jallcom.2022.167722
Borate-Based Surface Coating of Li-Rich Mn-Based Disordered Rocksalt Cathode Materials,[],[Li-rich Mn-based disordered rocksalt oxyfluoride, , , ],10.1002/admi.202201200
Bimetallic Sulfides Embedded in a Boron Modulated Carbon Matrix as the Bifunctional Catalyst with a Low Oxygen Evolution Reaction Overpotential for an Advanced Zinc-Air Battery,[],[FeNiS-NBC/C, zinc, liquid electrolyte and solid-state electrolyte, boron and cellulose],10.1021/acssuschemeng.2c03971
"Construction of a flexible, integrated rechargeable Li battery based on a coaxial anode with a carbon fiber core encapsulated in FeNiMnO4 and a nitrogen-doped carbon sheath",[all solid flexible lithium ion battery],[LiFePO4, coaxial anode with carbon fiber core encapsulated in nanocrystalline FeNiMnO4 with nitrogen-doped carbon sheath, boron nitride modified polyethylene oxide, boron nitride],10.1016/S1872-5805(22)60617-6
Fast Ionic Migration from Bulk to Interface in the Li(NH3)XBH4@SiO2 Composite,[],[sulfur, lithium, Li(NH3)xBH4@SiO2, []],10.1021/acsaem.2c02871
Anion Donicity of Liquid Electrolytes for Lithium Carbon Fluoride Batteries,[],[CFx, lithium, non-aqueous liquid electrolytes with LiX (X=PF6-, TFSI-,10.1002/anie.202211623
"A Simple and Efficient Way to Directly Synthesize Unsolvated Alkali Metal (M = Na, K) Salts of [CB11H12]-",[],[solid electrolytes, , Na[CB11H12] and K[CB11H12], ],10.3390/cryst12101339
Examining the Benefits of Using Boron Compounds in Lithium Batteries: A Comprehensive Review of Literature,[],[lithium battery, lithium battery, [], []],10.3390/batteries8100187
Insights into the stability of magnesium borate salts for rechargeable magnesium batteries from AIMD simulations,[],[magnesium battery, magnesium metal anode, magnesium salts electrolyte, no additives mentioned],10.1039/d2cc04357b
Rational Design of Functional Electrolytes Towards Commercial Dual-Ion Batteries,[],[graphitic carbon, [], [], []],10.1002/cssc.202201561
Nonmetal Chloride Cathodes for Al-Ion Batteries,[],[nonmetal inorganic chloride cathodes, aluminum, halogen based ionic liquid electrolytes, hBN],10.1021/acs.jpcc.2c05354
Bi-nanofillers integrated into PEO-based electrolyte for high-performance solid-state Li metal batteries,[],[LiFePO4, Li, PEO-based composite solid-state electrolyte, BN nanosheets and aramid nanofibers],10.1016/j.jpowsour.2022.232139
"Sensitive mode investigations of lithium-ion cells with tavorite-type LiVXO4F (X = B, Si) as cathodes with stable cycling in low temperature operations",[],[LiVXO4F (X = B, Si), [], [],10.1063/5.0101447
Enhancing lithium-ion and electric conductive Li2FeSiO4 cathode through in situ boron-doping and carbon-coating strategy,[],[Li2FeSi1-xBxO4-delta/C, , , ],10.1007/s12598-022-02077-z
Theoretical study of δ-5 boron monolayer as an anode material for Li- and non-Li-ion batteries,[],[delta-5 boron monolayer, [], [], []],10.1557/s43578-022-00734-8
Inhibition of zinc dendrites by dopamine modified hexagonal boron nitride electrolyte additive for zinc-ion batteries,[],[V2O5, Zn, ZnSO4, h-BN@PDA],10.1016/j.jpowsour.2022.232074
Freestanding TiO@heteroatom-doped hollow multi-channel carbon fibers for lithium-sulfur batteries,[],[sulfur, lithium, [], []],10.1016/j.jallcom.2022.167056
Regulating Polysulfide Conversion Kinetics Using Tungsten Diboride as Additive For High-Performance Li-S Battery,[pouch battery],[sulfur, lithium, freestanding lithiated-poly(4-styrene sulfonate) membrane, tungsten diboride nanoparticles],10.1002/smll.202203222
Spreading the Landscape of Dual Ion Batteries: from Electrode to Electrolyte,[],[cathode materials, anode materials, electrolytes (anion, solvent,10.1002/cssc.202201375
Pseudo-concentrated electrolytes for lithium metal batteries,[coin battery],[LiNi0.6Co0.2Mn0.2O2 (NCM622), lithium metal, LiPF6-based electrolyte, 4-pyridylboronic acid (4-PBA)],10.1016/j.esci.2022.06.005
In situ regulation of dendrite-free lithium anode by improved solid electrolyte interface with defect-rich boron nitride quantum dots,[],[sulfur, lithium metal, solid electrolyte interface (SEI), boron nitride quantum dots (BNQDs)],10.1039/d2ta05511b
Boron-Based Electrolytes for Rechargeable Magnesium Batteries: Biography and Perspective,[],[rechargeable magnesium batteries, magnesium metal, boron-based electrolytes, []],10.1002/batt.202200263
Defective Boron Nitride Inducing the Lithium-ion Migration on the Sub-Surface of LiBH4,[],[, , LiBH4/BN composite electrolyte, ],10.1002/adfm.202205677
Propelling performance of silicon thin film lithium ion battery by appropriate dopants,[coin cell],[not specified, silicon thin film anodes, not specified, not specified],10.1016/j.nanoen.2022.107688
Na2B11H13 and Na11(B11H14)3(B11H13)4 as potential solid-state electrolytes for Na-ion batteries,[],[],[],solid-state sodium-borane electrolyte,[],10.1039/d2dt01943d
Improved interfacial properties of LiNi0.8Co0.15Al0.05O2 cathode by tris (trimethylsilyl) borate as an electrolyte additive to inhibit HF formation,[],[LiNi0.8Co0.15Al0.05O2, lithium metal, [], Tris(trimethylsilyl)borate],10.1016/j.electacta.2022.140958
"Effects of B2O3 on crystallization kinetics, microstructure and properties of Li1.5Al0.5Ge1.5(PO4)3-based glass-ceramics",[],[ [], [], [Li1.5Al0.5Ge1.5(PO4)3-xB2O3 solid electrolyte], [B2O3] ],10.1016/j.ssi.2022.115990
Sintering and surface treatments for fabrication of Na3Zr2Si2PO12 NASICON solid electrolyte for sodium-metal solid-state batteries,[],[, , , ].,10.1107/S2053273322092488
Expansion-Tolerant Lithium Anode with Built-In LiF-Rich Interface for Stable 400 Wh kg-1 Lithium Metal Pouch Cells,[pouch battery],[Ni-rich cathode, 3D Li/LiB anode, quasi-ionic-liquid-based polymer electrolyte, LiF-rich layer],10.1021/acsmaterialslett.2c00443
"N, P co-doped graphene enriched phosphorus as a highly efficient oxygen reduction catalyst",[],[PANAGr, zinc, alkaline electrolyte, []],10.1016/j.jelechem.2022.116560
Bulk/Interfacial Synergetic Approaches Enable the Stable Anode for High Energy Density All- Solid-State Lithium-Sulfur Batteries,[],[sulfur, lithium-boron alloy, solid-state electrolytes, Ag@C modified layer],10.1021/acsenergylett.2c01334
High Voltage LiCoO2 Cathodes with High Purity Lithium Bis(oxalate) Borate (LiBOB) for Lithium-Ion Batteries,[],[LiCoO2, [], 1 M LiPF6 in EC:DMC (1:1), LiBOB],10.1021/acsaem.2c01789
Efficient single-perfluorinated borate-based electrolytes for rechargeable magnesium batteries,[],[Mo6S8, Mg metal, MgCl2-B(Otfe)3, []],10.1016/j.ensm.2022.07.021
Nitrogen/Phosphorus/Boron-Codoped Hollow Carbon Spheres as Highly Efficient Electrocatalysts for Zn-Air Batteries,[],[zinc, air, alkaline/neutral, []],10.1021/acs.iecr.2c01350
Hexagonal Boron Nitride-Coated Polyimide Ion Track Etched Separator with Enhanced Thermal Conductivity and High-Temperature Stability for Lithium-Ion Batteries,[],[lithium iron phosphate, lithium, , ],10.1021/acsaem.2c01163
Boron-Doped Pine-Cone Carbon With 3D Interconnected Porosity for Use as an Anode for Potassium-Ion Batteries With Long Life Cycle,[],[, boron-doped pine-cone carbon, , ],10.3389/fchem.2022.953782
Battery-like flexible supercapacitors from vertical 3D diamond/graphite composite films on carbon cloth,[],[carbon cloth, vertical 3D diamond/graphite composite films, diluted H2SO4 solution or Fe(CN)6³⁻/⁴⁻ redox electrolytes, []],10.1016/j.carbon.2022.06.042
In Situ Construction of a LiF-Enriched Interfacial Modification Layer for Stable All-Solid-State Batteries,[],[LiNi0.6Mn0.2Co0.2O2, lithium-boron alloy, sulfide solid-state electrolytes, carbon fluoride-silver composite],10.1021/acsami.2c06700
Methylamine Lithium Borohydride as Electrolyte for All-Solid-State Batteries,[],[TiS2, Li-metal, lithium borohydride with neutral ligand, []],10.1002/anie.202203484
Screen-Printable Hexagonal Boron Nitride Ionogel Electrolytes for Mechanically Deformable Solid-State Lithium-Ion Batteries,[],[positive electrode material: [], negative electrode material: [], electrolyte system: [hBN ionogel electrolyte based on imidazolium ionic liquid], additives: [hBN nanoplatelets]],10.1021/acs.nanolett.2c01364
Cathode modification by Li2O-B2O3-SiO2 glass addition for all-solid-state battery creation,[],[LiCoO2, [], composite solid electrolyte based on Li7La3Zr2O12, Li2O-B2O3-SiO2 glass additive],10.1007/s11581-022-04640-1
All-Solid-State Li Batteries with NCM-Garnet-Based Composite Cathodes: The Impact of NCM Composition on Material Compatibility,[],[Ni-rich LiNixCoyMn1-x-yO2 (NCM811), Li-metal, Li6.45Al0.05La3Zr1.6Ta0.4O12 (LLZO:Ta), Li3BO3],10.1021/acsaem.2c00533
Interfacial engineering to achieve an energy density of over 200 Wh kg-1 in sodium batteries,[large-size cells],[unspecified], [initial anode-free Na], [boron-containing electrolytes], [graphitic carbon coating on Al current collector],10.1038/s41560-022-01033-6
Boron doped graphene as anode material for Mg ion battery: A DFT study,[],[, B and N-doped graphene intercalated with Mg, , ],10.1016/j.comptc.2022.113757
Depth-Dependent Understanding of Cathode Electrolyte Interphase (CEI) on the Layered Li-Ion Cathodes Operated at Extreme High Temperature,[],[LiNi0.33Mn0.33Co0.33O2 (NMC333), [], pyrrolidinium-based ionic liquid electrolyte, []],10.1021/acs.chemmater.2c00435
High-performance free-standing hybrid solid electrolyte membrane combined with Li6.28Al0.24La3Zr2O12 and hexagonal-BN for all-solid-state lithium-based batteries,[],[LiFePO4, Li metal, PVDF-HFP/LALZO/h-BN 10% HSE, h-BN],10.1016/j.cej.2022.137035
